,Tag Combination,Count
459,"('ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
460,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Beef', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Kettle Cooked', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Yeasty', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Jerky', 'types of snack does it describe_mapped_clean_Meat Based', 'types of snack does it describe_mapped_clean_Seeds', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",1
461,"('explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Beef', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Kettle Cooked', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Jerky', 'types of snack does it describe_mapped_clean_Meat Based', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Brain fuel / focus')",1
462,"('explicitly claimed health or lifestyle benefits_mapped_clean_Provides energy', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
463,"('multipack or single serving_mapped_clean_Both (multi-serve bag and individual sized bag)', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Round', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
464,"('ingredients mentioned in the flavor names_mapped_clean_Lime', 'multipack or single serving_mapped_clean_Both (multi-serve bag and individual sized bag)', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Round', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Entertaining guests', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
413,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Round', 'taste profile_mapped_clean_Savory', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",1
390,"('cuisines of origin_mapped_clean_Mexican', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Sweet', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",1
411,"('explicitly claimed health or lifestyle benefits_mapped_clean_Filling', 'explicitly claimed health or lifestyle benefits_mapped_clean_High Protein', 'explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Rings', 'shapes mentioned_mapped_clean_Triangular', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",1
374,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'ingredients mentioned in the flavor names_mapped_clean_Onion', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crunchy', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
358,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",1
359,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'ingredients mentioned in the flavor names_mapped_clean_Sour Cream', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Potato')",1
360,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'shapes mentioned_mapped_clean_Clusters', 'taste profile_mapped_clean_Salty', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Nuts', 'types of snack does it describe_mapped_clean_Potato', 'types of snack does it describe_mapped_clean_Pretzels', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",1
361,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Twisted', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Potato', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",1
362,"('ingredients mentioned in the flavor names_mapped_clean_BBQ', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Salt', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'textures described_mapped_clean_Tender', 'types of snack does it describe_mapped_clean_Potato')",1
363,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'ingredients mentioned in the flavor names_mapped_clean_Sour Cream', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Rings', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Herbal', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Potato', 'types of snack does it describe_mapped_clean_Puffs')",1
364,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'ingredients mentioned in the flavor names_mapped_clean_Sriracha', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'textures described_mapped_clean_Tender', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla')",1
365,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'shapes mentioned_mapped_clean_Clusters', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",1
366,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Clusters', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Grazing')",1
367,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Tender', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",1
368,"('one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Rings', 'shapes mentioned_mapped_clean_Round', 'shapes mentioned_mapped_clean_Scoopable', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_At a party', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Sharing')",1
369,"('ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Sticks', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Complement a meal', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_For breakfast, lunch or dinner')",1
370,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'types of snack does it describe_mapped_clean_Puffs')",1
371,"('cuisines of origin_mapped_clean_Mexican', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Twisted', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Sweet', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",1
372,"('explicitly claimed health or lifestyle benefits_mapped_clean_Provides energy', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'shapes mentioned_mapped_clean_Bites', 'shapes mentioned_mapped_clean_Triangular', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Snack Mix, Trail Mix', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
357,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Sticks', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
356,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'ingredients mentioned in the flavor names_mapped_clean_Tomatoes', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Sticks', 'textures described_mapped_clean_Crunchy', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
355,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'ingredients mentioned in the flavor names_mapped_clean_Sour Cream', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Sticks', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
346,"('one product or product mix_mapped_clean_One Product', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
340,"('multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Rings', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Smoky', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Snack Mix, Trail Mix', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
341,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'explicitly claimed health or lifestyle benefits_mapped_clean_Provides energy', 'ingredients mentioned in the flavor names_mapped_clean_Fruit', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Lemon', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'ingredients mentioned in the flavor names_mapped_clean_Vanilla', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Flat', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Chewy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Crisps', 'types of snack does it describe_mapped_clean_Wholegrain', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
342,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_One Flavour', 'one product or product mix_mapped_clean_Product Mix', 'shapes mentioned_mapped_clean_Round', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Snack Mix, Trail Mix', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
343,"('ingredients mentioned in the flavor names_mapped_clean_Lime', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'shapes mentioned_mapped_clean_Spirals', 'shapes mentioned_mapped_clean_Triangular', 'shapes mentioned_mapped_clean_Twisted', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Snack Mix, Trail Mix', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",1
344,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Popped', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Brain fuel / focus', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger')",1
345,"('one product or product mix_mapped_clean_One Product', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
347,"('ingredients mentioned in the flavor names_mapped_clean_Tomatoes', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Round', 'taste profile_mapped_clean_Seasoned', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'types of snack does it describe_mapped_clean_Vegetable', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
354,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Clusters', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Smoky', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
348,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'explicitly claimed health or lifestyle benefits_mapped_clean_Plant Based', 'ingredients mentioned in the flavor names_mapped_clean_Tomatoes', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Seasoned', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'types of snack does it describe_mapped_clean_Vegetable', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
349,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Thins', 'taste profile_mapped_clean_Cheesy', 'types of snack does it describe_mapped_clean_Crisps', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",1
350,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'ingredients mentioned in the flavor names_mapped_clean_Salt', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Complement a meal')",1
351,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Tangy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
352,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Crisps', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",1
353,"('ingredients mentioned in the flavor names_mapped_clean_Bacon', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Chicken', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Lime', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
373,"(""explicitly claimed health or lifestyle benefits_mapped_clean_Light and airy, won't weigh you down"", 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
375,"('one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'shapes mentioned_mapped_clean_Bites', 'shapes mentioned_mapped_clean_Rings', 'shapes mentioned_mapped_clean_Scoopable', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
410,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Defeat hunger', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",1
376,"('ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'multipack or single serving_mapped_clean_Single Serving', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Ridged', 'taste profile_mapped_clean_Salty', 'taste profile_mapped_clean_Sweet', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Pretzels', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
395,"(""explicitly claimed health or lifestyle benefits_mapped_clean_Light and airy, won't weigh you down"", 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",1
